5.3713 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
64.9983 	EXP 	New trial (rep=40, index=0): None
65.0101 	EXP 	fixation: autoDraw = False
65.0101 	EXP 	grating: autoDraw = False
65.0101 	EXP 	grating: ori = 1.0
65.0101 	EXP 	fixation: autoDraw = True
65.0101 	EXP 	grating: autoDraw = True
65.3096 	EXP 	grating: autoDraw = False
65.5629 	DATA 	Keypress: down
66.0094 	EXP 	fixation: autoDraw = False
66.0140 	EXP 	New trial (rep=41, index=0): None
66.0260 	EXP 	fixation: autoDraw = False
66.0260 	EXP 	grating: autoDraw = False
66.0260 	EXP 	grating: ori = 4.0
66.0260 	EXP 	fixation: autoDraw = True
66.0260 	EXP 	grating: autoDraw = True
66.3266 	EXP 	grating: autoDraw = False
66.5626 	DATA 	Keypress: up
67.0267 	EXP 	fixation: autoDraw = False
67.0329 	EXP 	New trial (rep=42, index=0): None
67.0441 	EXP 	fixation: autoDraw = False
67.0441 	EXP 	grating: autoDraw = False
67.0441 	EXP 	grating: ori = 2.0
67.0441 	EXP 	fixation: autoDraw = True
67.0441 	EXP 	grating: autoDraw = True
67.3593 	EXP 	grating: autoDraw = False
67.3964 	DATA 	Keypress: down
68.0478 	EXP 	New trial (rep=43, index=0): None
68.0593 	EXP 	fixation: autoDraw = False
68.0593 	EXP 	fixation: autoDraw = False
68.0593 	EXP 	grating: autoDraw = False
68.0593 	EXP 	grating: ori = 0.0
68.0593 	EXP 	fixation: autoDraw = True
68.0593 	EXP 	grating: autoDraw = True
68.3592 	EXP 	grating: autoDraw = False
68.5458 	DATA 	Keypress: up
69.0596 	EXP 	fixation: autoDraw = False
69.0641 	EXP 	New trial (rep=44, index=0): None
69.0755 	EXP 	fixation: autoDraw = False
69.0755 	EXP 	grating: autoDraw = False
69.0755 	EXP 	grating: ori = 2.0
69.0755 	EXP 	fixation: autoDraw = True
69.0755 	EXP 	grating: autoDraw = True
69.3760 	EXP 	grating: autoDraw = False
69.4290 	DATA 	Keypress: down
70.0758 	EXP 	fixation: autoDraw = False
70.0806 	EXP 	New trial (rep=45, index=0): None
70.0925 	EXP 	fixation: autoDraw = False
70.0925 	EXP 	grating: autoDraw = False
70.0925 	EXP 	grating: ori = 2.0
70.0925 	EXP 	fixation: autoDraw = True
70.0925 	EXP 	grating: autoDraw = True
70.3922 	EXP 	grating: autoDraw = False
70.5789 	DATA 	Keypress: up
71.0922 	EXP 	fixation: autoDraw = False
71.0976 	EXP 	New trial (rep=46, index=0): None
71.1088 	EXP 	fixation: autoDraw = False
71.1088 	EXP 	grating: autoDraw = False
71.1088 	EXP 	grating: ori = 0.0
71.1088 	EXP 	fixation: autoDraw = True
71.1088 	EXP 	grating: autoDraw = True
71.4086 	EXP 	grating: autoDraw = False
71.7288 	DATA 	Keypress: down
72.1087 	EXP 	fixation: autoDraw = False
72.1133 	EXP 	New trial (rep=47, index=0): None
72.1252 	EXP 	fixation: autoDraw = False
72.1252 	EXP 	grating: autoDraw = False
72.1252 	EXP 	grating: ori = 0.0
72.1252 	EXP 	fixation: autoDraw = True
72.1252 	EXP 	grating: autoDraw = True
72.4253 	EXP 	grating: autoDraw = False
72.6286 	DATA 	Keypress: up
73.1251 	EXP 	fixation: autoDraw = False
73.1307 	EXP 	New trial (rep=48, index=0): None
73.1422 	EXP 	fixation: autoDraw = False
73.1422 	EXP 	grating: autoDraw = False
73.1422 	EXP 	grating: ori = -5.0
73.1422 	EXP 	fixation: autoDraw = True
73.1422 	EXP 	grating: autoDraw = True
